locality,year,price
RYE,2021,954500.0
SAFETY BEACH,2021,945000.0
SAILORS GULLY,2021,294000.0
SALE,2021,365000.0
SAN REMO,2021,755000.0
SANCTUARY LAKES,2021,681000.0
SANDHURST,2021,860000.0
SANDRINGHAM,2021,1890000.0
SANDY POINT,2021,760000.0
SASSAFRAS,2021,825000.0
SAWMILL SETTLEMENT,2021,540000.0
SCORESBY,2021,880000.0
SEA LAKE,2021,155000.0
SEABROOK,2021,670000.0
SEAFORD,2021,810000.0
SEAHOLME,2021,1380000.0
SEASPRAY,2021,280000.0
SEBASTOPOL,2021,374000.0
SEDDON,2021,1050000.0
SELBY,2021,889000.0
SEVILLE,2021,710000.0
SEVILLE EAST,2021,545000.0
SEYMOUR,2021,381000.0
SHEPPARTON,2021,339500.0
SHEPPARTON NORTH,2021,362500.0
SHOREHAM,2021,1850000.0
SILVERLEAVES,2021,857000.0
SKENES CREEK,2021,735000.0
SKIPTON,2021,224500.0
SKYE,2021,691000.0
SMITHS BEACH,2021,800000.0
SOLDIERS HILL,2021,425000.0
SOMERS,2021,1547000.0
SOMERVILLE,2021,730000.0
SORRENTO,2021,1725000.0
SOUTH DUDLEY,2021,419500.0
SOUTH GEELONG,2021,1120000.0
SOUTH KINGSVILLE,2021,1080000.0
SOUTH MELBOURNE,2021,1400000.0
SOUTH MORANG,2021,667000.0
SOUTH YARRA,2021,1500000.0
SPOTSWOOD,2021,1088500.0
SPRING GULLY,2021,495000.0
SPRINGVALE,2021,860000.0
SPRINGVALE SOUTH,2021,770000.0
ST ALBANS,2021,630000.0
ST ALBANS PARK,2021,502500.0
ST ANDREWS BEACH,2021,1350000.0
ST ARNAUD,2021,207500.0
ST HELENA,2021,972000.0
ST KILDA,2021,1380500.0
ST KILDA EAST,2021,1485000.0
ST KILDA WEST,2021,1560000.0
ST LEONARDS,2021,650000.0
STANHOPE,2021,254500.0
STAWELL,2021,261000.0
STRATFORD,2021,338000.0
STRATHDALE,2021,605000.0
STRATHFIELDSAYE,2021,571500.0
STRATHMERTON,2021,265000.0
STRATHMORE,2021,1350000.0
STRATHMORE HEIGHTS,2021,1060000.0
STRATHTULLOH,2021,556000.0
STUDFIELD,2021,1051000.0
SUNBURY,2021,625000.0
SUNDERLAND BAY,2021,695000.0
SUNNYCLIFFS,2021,330000.0
SUNSET STRIP,2021,545000.0
SUNSHINE,2021,770000.0
SUNSHINE NORTH,2021,800000.0
SUNSHINE WEST,2021,722500.0
SURF BEACH,2021,690000.0
SURREY HILLS,2021,1967500.0
SWAN HILL,2021,347000.0
SWAN REACH,2021,472500.0
SYDENHAM,2021,600000.0
SYNDAL,2021,1373000.0
TALLANGATTA,2021,272500.0
TARNEIT,2021,580000.0
TATURA,2021,345000.0
TAWONGA SOUTH,2021,455000.0
TAYLORS HILL,2021,760000.0
TAYLORS LAKES,2021,788500.0
TECOMA,2021,740000.0
TEMPLESTOWE,2021,1393000.0
TEMPLESTOWE LOWER,2021,1290000.0
TERANG,2021,294000.0
THE BASIN,2021,810000.0
THE HONEYSUCKLES,2021,444000.0
THE PATCH,2021,740000.0
THOMASTOWN,2021,650000.0
THOMSON (GREATER GEELONG),2021,426000.0
THORNBURY,2021,1300000.0
THORNHILL PARK,2021,612500.0
TIMBOON,2021,380000.0
TONGALA,2021,207000.0
TOONGABBIE,2021,447500.0
TOORA,2021,323500.0
TOORADIN,2021,672500.0
TOORAK,2021,5800000.0
TOOTGAROOK,2021,748000.0
TORQUAY,2021,1000000.0
TRAFALGAR,2021,400000.0
TRARALGON,2021,368500.0
TRARALGON EAST,2021,685000.0
TRAVANCORE,2021,1550000.0
TRENTHAM,2021,770000.0
TRUGANINA,2021,600000.0
TULLAMARINE,2021,700000.0
TYABB,2021,600000.0
UPPER FERNTREE GULLY,2021,737000.0
UPWEY,2021,822500.0
VENTNOR,2021,655000.0
VENUS BAY,2021,478000.0
VERMONT,2021,1000000.0
VERMONT SOUTH,2021,1300000.0
VIEWBANK,2021,1099000.0
VIOLET TOWN,2021,290000.0
WAHGUNYAH,2021,365000.0
WALKERVILLE,2021,449000.0
WALLAN,2021,550000.0
WALLAN EAST,2021,555000.0
WANDANA HEIGHTS,2021,925000.0
WANDIN NORTH,2021,702000.0
WANGARATTA,2021,383000.0
WANTIRNA,2021,1020000.0
WANTIRNA SOUTH,2021,1078000.0
WARBURTON,2021,590000.0
WARNEET,2021,580000.0
WARRACKNABEAL,2021,182500.0
WARRAGUL,2021,540000.0
WARRANDYTE,2021,1018000.0
WARRANWOOD,2021,1050000.0
WARRNAMBOOL,2021,450000.0
WATERWAYS,2021,1560500.0
WATSONIA,2021,805000.0
WATSONIA NORTH,2021,1070000.0
WATTLE GLEN,2021,826000.0
WAURN PONDS,2021,718000.0
WEDDERBURN,2021,155000.0
WEIR VIEWS,2021,530000.0
WENDOUREE,2021,416500.0
