pha_code,pha_name,ed_rate_per_100k,poor_health_pct,population,area_type
20055,Greensborough/ Montmorency - Briar Hill,26354.21485450375,12.706569695670868,37655.0,Metro Melbourne
20091,Greenvale - Bulla/ Melbourne Airport,26010.00837689109,14.83420757830321,22536.0,Metro Melbourne
20212,Grovedale,17047.547005070282,15.40688287968081,35156.0,Metro Melbourne
20122,Hallam,29039.39442358001,18.0955693654307,11598.0,Metro Melbourne
20270,Hamilton (Vic.)/ Southern Grampians,51273.82351134585,15.330001122156718,16552.0,Metro Melbourne
20042,Hampton,23809.11886296666,9.05478757020663,18405.0,Metro Melbourne
20127,Hampton Park,26537.631086781934,20.70780672629743,26376.0,Metro Melbourne
20179,Hastings - Somers,24882.866657850802,15.679188533348988,24245.0,Metro Melbourne
20030,Hawthorn,13896.526600449553,10.586670091053303,38035.0,Metro Melbourne
20109,Healesville - Yarra Glen,23510.394348027305,14.365804723301691,14181.0,Metro Melbourne
20203,Heathcote,28246.355679760465,13.857458332981967,5026.0,Metro Melbourne
20056,Heidelberg - Rosanna/ Viewbank - Yallambie,27652.361205347715,12.109197651710458,35093.0,Metro Melbourne
20057,Heidelberg West,33649.77881406113,15.8712642133554,15039.0,Metro Melbourne
20213,Highton/ Newtown (Vic.),13140.817919934336,11.8856473129323,34499.0,Metro Melbourne
20162,Hillside/ Taylors Hill,22287.014002898406,18.23065184412259,46379.0,Metro Melbourne
20165,Hoppers Crossing - North/ Truganina,13847.825482517163,18.725153289539385,57355.0,Metro Melbourne
20166,Hoppers Crossing - South/ Werribee - South,28120.568034554588,16.27660728429866,35985.0,Metro Melbourne
20252,Horsham,57362.61650088777,16.78566519595939,16951.0,Metro Melbourne
20253,Horsham Region,39966.15126847204,13.398991197793368,3451.0,Metro Melbourne
20047,Hughesdale,18031.409604130356,12.321039976522451,7642.0,Metro Melbourne
20065,Hurstbridge/ Panton Hill/ Research,20547.51823895001,12.495094312377452,15684.0,Metro Melbourne
20255,Irymple/ Mildura Region,30790.288089058588,14.479683669564176,11390.0,Metro Melbourne
20058,Ivanhoe,27048.242813501307,8.751396427740493,12559.0,Metro Melbourne
20059,Ivanhoe East - Eaglemont,18976.635820270436,8.235635037066476,7799.0,Metro Melbourne
20198,Kangaroo Flat - Golden Square,40348.21764531721,17.733149952415484,21071.0,Metro Melbourne
20077,Keilor,23666.364754056638,11.945871823274361,8596.0,Metro Melbourne
20146,Keilor Downs,27562.8281907378,14.925318982018076,13193.0,Metro Melbourne
20031,Kew,15090.550933673867,8.834655612398919,31415.0,Metro Melbourne
20134,Keysborough,18488.21013545902,14.143123706225312,30495.0,Metro Melbourne
20266,Kialla/ Mooroopna/ Shepparton - South East,24224.657915877113,18.626654470870527,33949.0,Metro Melbourne
20223,Kilmore - Broadford/ Yea,20233.46911735524,16.09850845836718,19665.0,Metro Melbourne
20110,Kilsyth,35473.323466349495,15.236602871601852,9980.0,Metro Melbourne
20066,Kinglake,26046.066701479736,15.489150139991143,4237.0,Metro Melbourne
20060,Kingsbury,9105.049156642368,12.10388103103727,10549.0,Metro Melbourne
20049,Kingston - Central,20692.65360117955,11.190352410145138,44048.0,Metro Melbourne
20052,Kingston - North,23548.45666753012,11.645374815799007,46880.0,Metro Melbourne
20096,Knoxfield - Scoresby,19305.786635585566,14.480879037577143,16734.0,Metro Melbourne
20116,Koo Wee Rup,29995.487666383833,16.24672730010464,10160.0,Metro Melbourne
20263,Kyabram/ Rochester/ Rushworth,39174.11186174623,16.47412664227727,19213.0,Metro Melbourne
20204,Kyneton,15782.898870211891,13.16375146135966,10499.0,Metro Melbourne
20071,Lalor/ Thomastown,33332.066877903046,16.123117382775696,43849.0,Metro Melbourne
20176,Langwarrin/ Skye - Sandhurst,22316.914808463127,15.040108475082967,38675.0,Metro Melbourne
20214,Lara,21722.69195381665,15.126980908011351,20859.0,Metro Melbourne
20167,Laverton,29911.794248081696,14.934073084259682,11643.0,Metro Melbourne
20215,Leopold,21327.19302097387,15.392931986678844,13220.0,Metro Melbourne
20111,Lilydale - Coldstream/ Wandin - Seville,25066.52486826671,14.208506333907893,27749.0,Metro Melbourne
20207,Loddon,27724.585423352928,14.856943418328482,7233.0,Metro Melbourne
20248,Longford - Loch Sport/ Yarram,32386.99770301819,13.843427092530133,10461.0,Metro Melbourne
20219,Lorne - Anglesea/ Torquay,11609.67361874158,11.442015612751343,30828.0,Metro Melbourne
20128,Lynbrook - Lyndhurst,20455.485731334895,15.631252380289974,18271.0,Metro Melbourne
20097,Lysterfield/ Rowville,20564.009566149136,12.640816245898387,40618.0,Metro Melbourne
20199,Maiden Gully,30569.83046311335,14.64785783009374,5502.0,Metro Melbourne
20053,Malvern - Glen Iris/ Malvern East,9968.688295349706,9.80186116028585,42671.0,Metro Melbourne
20224,Mansfield (Vic.),12537.476143912194,13.549578762476575,10463.0,Metro Melbourne
20158,Maribyrnong,22745.647029367046,12.017250584776496,12712.0,Metro Melbourne
20194,Maryborough (Vic.),14278.419366166208,17.77281162132996,8118.0,Metro Melbourne
20092,Meadow Heights,34692.734540163765,28.970792331141254,15070.0,Metro Melbourne
20012,Melbourne CBD,21565.174014407192,10.397251903399908,43577.0,Metro Melbourne
20163,Melton West,25773.535314420576,22.848931712578246,21505.0,Metro Melbourne
