pha_code,pha_name,poor_health_pct,ed_asr_per_100k
20102,Croydon Hills - Warranwood/ Ringwood North,12.635666544853553,20478.053511455546
20102,Creswick - Daylesford - Ballan,14.232904746190588,21989.50342606549
20102,Creswick - Daylesford - Ballan,14.232904746190588,20478.053511455546
20103,Ringwood,14.408494244908402,27861.77905438747
20103,Ringwood,14.408494244908402,19200.915271855032
20103,Maryborough - Pyrenees,16.419337628153066,27861.77905438747
20103,Maryborough - Pyrenees,16.419337628153066,19200.915271855032
20104,Forest Hill,12.620594830054683,19419.704700695434
20105,Mitcham (Vic.)/ Vermont/ Vermont South,12.428597532195697,18067.847916626186
20106,Nunawading,11.841035580484142,19293.64796967734
20107,Yarra Ranges - South West,13.56203960660338,27520.0218199591
20108,Chirnside Park/ Montrose/ Mooroolbark,14.46232164432155,25528.793954299377
20109,Healesville - Yarra Glen,14.365804723301691,23136.346424962918
20110,Kilsyth,15.236602871601852,34025.65879075616
20111,Lilydale - Coldstream/ Wandin - Seville,14.208506333907893,25090.262282476244
20112,Monbulk - Silvan/ Mount Evelyn,14.260396507810754,26244.733295877937
20113,Yarra Valley,17.237602897040304,25515.64820040077
20114,Beaconsfield - Officer/ Emerald - Cockatoo,15.089271244368692,25541.288376479955
20115,Bunyip - Garfield,13.773430891992243,27636.016448674476
20116,Koo Wee Rup,16.24672730010464,30544.798677002167
20117,Pakenham,20.34629615400596,25638.80632137598
20118,Berwick - North/ Narre Warren North,12.107981576377814,43801.69119829847
20119,Berwick - South,16.695855750212193,398.6676871119885
20120,Doveton,21.05775586431096,34818.36414496266
20121,Endeavour Hills,15.1330477665605,26404.213785105458
20122,Hallam,18.0955693654307,28786.26396526666
20123,Narre Warren,17.710453753927347,28669.670311893376
20124,Cranbourne East/ Cranbourne South,19.26883501857155,23057.777812391607
20125,Cranbourne North,21.490588759277657,23572.158931687096
20126,Cranbourne/ Cranbourne West,20.406602681293045,26794.802065173
20127,Hampton Park,20.70780672629743,27224.986246840363
20128,Lynbrook - Lyndhurst,15.631252380289974,21410.03768048439
20129,Narre Warren South,17.93525469154557,23574.225662920835
